Code du Point de Vente,Raison Sociale,Code Postal,Ville,Code Chef de Secteur Henkel,"Total
Famille",Famille,"Total
annuel
2022","Total
annuel
2023","Total
annuel
Evol","Total
YTD
2022","Total
YTD
2023","Total
YTD
Evol","Janvier
2022","Janvier
2023","Janvier
Evol","Février
2022","Février
2023","Février
Evol","Mars
2022","Mars
2023","Mars
Evol","Avril
2022","Avril
2023","Avril
Evol","Mai
2022","Mai
2023","Mai
Evol","Juin
2022","Juin
2023","Juin
Evol","Juillet
2022","Juillet
2023","Juillet
Evol","Août
2022","Août
2023","Août
Evol","Septembre
2022","Septembre
2023","Septembre
Evol","Octobre
2022","Octobre
2023","Octobre
Evol","Novembre
2022","Novembre
2023","Novembre
Evol","Décembre
2022","Décembre
2023","Décembre
Evol"
20pf5,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,,-    SOL,11294,13547,"19,95%",11294,13547,"19,95%",786,1224,"55,81%",812,2463,"203,16%",1190,1594,"33,99%",630,1274,"102,30%",446,835,"87,06%",1146,481,-58%,772,1418,"83,81%",752,1176,"56,47%",1448,1292,"-10,75%",933,297,"-68,13%",1076,719,"-33,22%",1303,773,"-40,71%"
20pf5,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,,-    DECO,6707,5431,"-19,03%",6707,5431,"-19,03%",406,482,"18,69%",575,549,"-4,50%",481,397,"-17,46%",353,539,"52,65%",607,528,"-13,01%",533,108,"-79,75%",592,583,"-1,49%",562,618,"10,01%",693,164,"-76,37%",617,509,"-17,50%",724,711,"-1,80%",564,242,"-57,03%"
20pf5,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,,-    QUINCAILLERIE,708,350,,708,350,"-50,58%",127,,,,,,,,,63,,,,,,,,,195,141,"-27,55%",,,,,,,,144,,127,,,195,64,"-67,28%"
20pf5,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,,-    AUTRES,966,1909,,966,1909,"97,76%",,46,,,315,,,355,,,46,,299,92,"-69,08%",,,,,277,,,,,404,,,,,,263,777,"195,62%",,,
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,TOTAL HENKEL,,370824,354271,"-4,46%",370824,354271,"-4,46%",42944,33837,"-21,21%",33354,21182,"-36,49%",35262,48644,"37,95%",36287,11168,"-69,22%",17592,21339,"21,30%",28021,25584,"-8,70%",27697,31467,"13,61%",34212,44061,"28,79%",18222,15769,"-13,46%",35317,38686,"9,54%",26472,34616,"30,77%",35445,27918,"-21,23%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,TOTAL HENKEL Direct,370824,354271,"-4,46%",370824,354271,"-4,46%",42944,33837,"-21,21%",33354,21182,"-36,49%",35262,48644,"37,95%",36287,11168,"-69,22%",17592,21339,"21,30%",28021,25584,"-8,70%",27697,31467,"13,61%",34212,44061,"28,79%",18222,15769,"-13,46%",35317,38686,"9,54%",26472,34616,"30,77%",35445,27918,"-21,23%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    PEINTURE,245278,232964,"-5,02%",245278,232964,"-5,02%",31326,17203,"-45,08%",20492,10714,"-47,72%",23415,28072,"19,89%",24289,7626,"-68,60%",12292,16379,"33,25%",16338,19289,"18,06%",18313,23251,"26,96%",22267,30158,"35,43%",10989,10837,"-1,38%",27876,27093,"-2,81%",11126,23460,"110,86%",26555,18883,"-28,89%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    MENUISERIE,42530,52171,"22,67%",42530,52171,"22,67%",5032,8749,"73,85%",5341,3335,"-37,55%",4899,9395,"91,79%",5220,758,"-85,48%",258,2063,"700,97%",3642,2386,"-34,48%",1311,3466,"164,43%",4320,7087,"64,05%",2592,1347,"-48,02%",2413,5721,"137,09%",5229,3961,"-24,25%",2274,3904,"71,66%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    PLOMBERIE,42726,25608,"-40,06%",42726,25608,"-40,06%",3136,4471,"42,55%",3261,2676,"-17,95%",3532,5452,"54,36%",3431,1040,"-69,68%",3887,839,"-78,42%",3128,611,"-80,46%",4178,1234,"-70,46%",4188,1445,"-65,48%",1958,1313,"-32,95%",2619,1992,"-23,96%",5737,3202,"-44,18%",3670,1332,"-63,71%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    SOL,21062,19643,,21062,19643,"-6,74%",2469,1336,"-45,89%",2978,1878,"-36,91%",2472,2287,"-7,45%",2142,1413,"-34,04%",,1113,,2501,1395,"-44,23%",1558,1777,"14,01%",1885,2772,"47,06%",1044,327,"-68,64%",704,2185,"210,54%",2256,1880,"-16,67%",1055,1280,"21,36%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    DECO,13150,12248,"-6,86%",13150,12248,"-6,86%",854,1248,"46,13%",984,1296,"31,70%",760,2393,"214,70%",1084,331,"-69,47%",711,688,"-3,23%",2054,279,"-86,44%",1241,1061,"-14,51%",474,969,"104,43%",1515,721,"-52,41%",1132,1202,"6,19%",1396,972,"-30,39%",944,1089,"15,38%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    QUINCAILLERIE,4993,7566,,4993,7566,"51,53%",127,620,388%,,1283,,184,1044,"468,89%",120,,,187,,,1073,1220,"13,71%",946,,,1078,1168,"8,32%",124,869,"602,91%",132,254,"92,38%",573,210,"-63,25%",449,897,"99,73%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    BATI,982,2072,,982,2072,"110,98%",,211,,298,,,,,,,,,258,258,"-0,14%",-766,405,,150,170,"13,52%",,,,,354,,388,238,"-38,64%",156,154,"-0,92%",498,282,"-43,38%"
20pfk,LEROY MERLIN - 130,54180,HOUDEMONT,325,,-    AUTRES,102,1999,,102,1999,"1852,99%",,,,,,,,,,,,,,,,50,,,,508,,,462,,,,,53,,,,777,,,252,
20pjc,LEROY MERLIN - 145,57070,METZ,325,TOTAL HENKEL,,189484,190890,"0,74%",189484,190890,"0,74%",16159,14028,"-13,19%",19728,18944,"-3,97%",19142,25204,"31,67%",20813,9371,"-54,97%",5516,11425,"107,15%",12360,15026,"21,57%",17453,16586,"-4,97%",14497,21436,"47,87%",17667,16993,"-3,82%",13091,14279,"9,08%",16528,17063,"3,24%",16530,10534,"-36,27%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,TOTAL HENKEL Direct,189484,190890,"0,74%",189484,190890,"0,74%",16159,14028,"-13,19%",19728,18944,"-3,97%",19142,25204,"31,67%",20813,9371,"-54,97%",5516,11425,"107,15%",12360,15026,"21,57%",17453,16586,"-4,97%",14497,21436,"47,87%",17667,16993,"-3,82%",13091,14279,"9,08%",16528,17063,"3,24%",16530,10534,"-36,27%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    PEINTURE,128815,128855,"0,03%",128815,128855,"0,03%",11769,8847,"-24,83%",13386,10731,"-19,83%",13865,15814,"14,05%",14856,6611,"-55,50%",4239,8216,"93,83%",6568,10677,"62,56%",12152,11538,"-5,05%",8984,14431,"60,64%",13311,13025,"-2,14%",7822,9664,"23,56%",11532,12597,"9,24%",10332,6704,"-35,12%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    MENUISERIE,18632,19173,"2,90%",18632,19173,"2,90%",1996,689,"-65,46%",1520,3859,"153,82%",1826,3655,"100,15%",1776,571,"-67,84%",46,466,"906,61%",2005,1744,-13%,1775,1600,"-9,86%",1758,2109,"20,02%",594,958,"61,24%",1510,748,"-50,48%",1650,1848,"12,03%",2177,926,"-57,47%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    PLOMBERIE,14687,14290,"-2,71%",14687,14290,"-2,71%",861,993,"15,36%",1401,1709,22%,872,1583,"81,45%",1145,655,"-42,81%",821,1111,"35,36%",1678,1671,"-0,41%",1175,1418,"20,67%",2296,1324,"-42,33%",930,1139,"22,44%",1192,1081,"-9,32%",966,662,"-31,49%",1350,944,"-30,09%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    SOL,17967,21628,,17967,21628,"20,38%",841,2797,"232,48%",2655,2078,"-21,73%",1735,3403,"96,16%",2192,840,"-61,69%",,1168,,1331,560,"-57,93%",1495,1300,"-13,04%",991,2987,"201,40%",1220,1479,"21,21%",1954,2365,"21,03%",1799,1290,"-28,31%",1753,1361,"-22,37%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    DECO,6663,5365,"-19,49%",6663,5365,"-19,49%",510,702,"37,59%",703,409,"-41,75%",600,677,"12,82%",631,403,"-36,17%",226,464,"105,55%",508,306,"-39,78%",665,523,"-21,36%",175,447,"154,51%",816,250,"-69,31%",613,214,"-65,02%",581,370,"-36,21%",637,600,"-5,84%"
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    QUINCAILLERIE,1339,1105,,1339,1105,"-17,43%",,,,63,,,63,72,"13,80%",63,134,"111,72%",184,,,63,69,"8,88%",192,207,"7,62%",67,138,"105,38%",577,141,"-75,50%",,207,,,138,,65,,
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    BATI,1481,474,,1481,474,"-67,98%",283,,,,158,,180,,,150,158,"5,36%",,,,208,,,,,,226,,,219,,,,,,,158,,216,,
20pjc,LEROY MERLIN - 145,57070,METZ,325,,-    AUTRES,-101,,,-101,,,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,TOTAL HENKEL,,310386,336307,"8,35%",310386,336307,"8,35%",25565,36146,"41,39%",27953,23862,"-14,64%",30208,49332,"63,31%",31304,16257,"-48,07%",17923,16260,"-9,28%",24031,34318,"42,80%",20994,28653,"36,49%",27475,36429,"32,59%",28479,21361,"-24,99%",32480,22889,"-29,53%",22454,29480,"31,29%",21519,21319,"-0,93%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,TOTAL HENKEL Direct,310386,336307,"8,35%",310386,336307,"8,35%",25565,36146,"41,39%",27953,23862,"-14,64%",30208,49332,"63,31%",31304,16257,"-48,07%",17923,16260,"-9,28%",24031,34318,"42,80%",20994,28653,"36,49%",27475,36429,"32,59%",28479,21361,"-24,99%",32480,22889,"-29,53%",22454,29480,"31,29%",21519,21319,"-0,93%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    PEINTURE,213488,234791,"9,98%",213488,234791,"9,98%",18975,23444,"23,56%",19302,16139,"-16,39%",21340,33246,"55,79%",21942,11428,"-47,92%",13115,10343,"-21,14%",12152,23072,"89,87%",13551,21483,"58,54%",18126,28152,"55,31%",20423,14921,"-26,94%",25138,18948,"-24,62%",14381,20209,"40,52%",15044,13406,"-10,89%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    MENUISERIE,27326,39133,,27326,39133,"43,21%",2234,4971,"122,53%",2551,3264,"27,91%",3477,7512,"116,01%",3393,697,"-79,46%",510,891,"74,91%",6578,5483,"-16,65%",252,885,"250,68%",3173,3308,"4,27%",2358,3538,"50,03%",,642,,1234,3118,"152,63%",1565,4826,"208,34%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    PLOMBERIE,29651,29389,"-0,89%",29651,29389,"-0,89%",1821,3115,"71,10%",1989,2541,"27,76%",2197,4710,"114,37%",2124,1321,"-37,77%",2393,2626,"9,74%",2316,3701,"59,83%",4230,3838,"-9,27%",1632,1671,"2,41%",2583,675,"-73,85%",3082,1355,"-56,04%",3255,2466,"-24,24%",2031,1369,"-32,59%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    SOL,23120,15660,"-32,27%",23120,15660,"-32,27%",1949,3181,"63,24%",3342,820,"-75,46%",2660,1640,"-38,33%",2299,1007,"-56,21%",973,908,"-6,67%",1353,800,"-40,91%",2043,1142,"-44,09%",1858,1526,"-17,85%",1814,890,"-50,91%",1033,980,"-5,10%",2464,1660,"-32,64%",1332,1105,"-17,05%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    DECO,10116,9549,"-5,60%",10116,9549,"-5,60%",397,1245,"213,89%",511,758,"48,40%",287,1441,"402,81%",937,985,"5,18%",455,828,"82,07%",896,682,"-23,95%",671,506,"-24,59%",1572,1075,"-31,61%",983,572,"-41,82%",1375,431,"-68,64%",891,595,"-33,15%",1143,431,"-62,29%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    QUINCAILLERIE,3517,4773,,3517,4773,"35,70%",,144,,,,,247,507,"105,34%",122,403,"231,03%",184,334,"81,96%",184,334,"81,96%",,537,,942,337,"-64,22%",187,410,"119,24%",1652,534,"-67,68%",,1232,,,,
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    BATI,2816,2874,,2816,2874,"2,06%",190,,,258,340,"31,91%",,276,,489,416,"-14,93%",293,330,"12,31%",254,200,"-21,05%",246,262,"6,39%",172,314,"82,47%",131,354,"169,50%",148,,,229,200,"-12,66%",404,182,"-54,91%"
20pk2,LEROY MERLIN - 052,57280,MAIZIERES LES METZ,325,,-    AUTRES,351,139,,351,139,"-60,55%",,46,,,,,,,,,,,,,,299,46,"-84,54%",,,,,46,,,,,53,,,,,,,,
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,TOTAL HENKEL,,252630,258081,"2,16%",252630,258081,"2,16%",34553,24555,"-28,93%",30318,21233,"-29,97%",15382,38934,"153,11%",21195,8353,"-60,59%",9943,20897,"110,16%",25829,24766,"-4,12%",15382,24709,"60,64%",26744,19437,"-27,32%",11967,14636,"22,31%",19418,21011,"8,21%",18582,25445,"36,93%",23317,14105,"-39,51%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,TOTAL HENKEL Direct,252630,258081,"2,16%",252630,258081,"2,16%",34553,24555,"-28,93%",30318,21233,"-29,97%",15382,38934,"153,11%",21195,8353,"-60,59%",9943,20897,"110,16%",25829,24766,"-4,12%",15382,24709,"60,64%",26744,19437,"-27,32%",11967,14636,"22,31%",19418,21011,"8,21%",18582,25445,"36,93%",23317,14105,"-39,51%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    PEINTURE,155161,178013,"14,73%",155161,178013,"14,73%",18686,20251,"8,38%",21286,13205,"-37,96%",13764,21238,"54,30%",10654,5930,"-44,34%",6795,16555,"143,62%",13360,20609,"54,26%",10415,20346,"95,36%",16506,11461,"-30,56%",8875,9399,"5,90%",14448,14203,"-1,69%",10345,15961,"54,28%",10027,8854,"-11,70%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    MENUISERIE,26630,18647,,26630,18647,"-29,98%",4851,96,"-98,02%",3174,2952,-7%,-228,7072,,3454,,,,390,,3217,,,3095,,,2779,961,"-65,40%",580,2813,"385,35%",81,2365,"2828,58%",456,1589,"248,60%",5171,409,"-92,09%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    PLOMBERIE,34724,22757,,34724,22757,"-34,46%",7165,626,"-91,26%",3455,2168,"-37,26%",265,6761,"2453,50%",3758,673,"-82,09%",144,481,"233,47%",2124,2399,"12,95%",739,871,"17,89%",4391,2592,"-40,97%",1020,-190,,1674,1460,"-12,80%",4674,2660,"-43,09%",5316,2257,"-57,54%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    SOL,19593,20069,"2,43%",19593,20069,"2,43%",1806,1160,"-35,79%",1417,1975,"39,31%",1176,1513,"28,60%",2181,1451,"-33,47%",1406,1983,"41,10%",4619,731,"-84,17%",681,1927,"182,89%",1647,2227,"35,23%",683,807,"18,10%",1095,2302,"110,20%",1422,3087,"117,12%",1461,908,"-37,81%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    DECO,9892,9482,"-4,14%",9892,9482,"-4,14%",1854,1031,"-44,38%",859,502,"-41,55%",29,1443,"4890,73%",963,154,"-84,01%",236,139,"-40,98%",1299,718,"-44,75%",453,1106,"144,24%",1422,1344,"-5,50%",320,490,"53,25%",755,551,-27%,995,718,"-27,78%",708,1286,"81,51%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    QUINCAILLERIE,3796,6383,,3796,6383,"68,16%",,865,,127,210,"65,22%",,907,,185,144,"-21,77%",1362,1104,-19%,185,217,"17,35%",,,,,853,,201,1060,"427,60%",1208,131,"-89,19%",,693,,528,200,"-62,10%"
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    BATI,1548,1761,,1548,1761,"13,70%",190,387,"103,15%",,222,,376,,,,,,,246,,528,,,,459,,,,,131,258,"96,07%",,,,323,,,,190,
20p1b,LEROY MERLIN - 194,38120,ST EGREVE,347,,-    AUTRES,1286,969,,1286,969,"-24,67%",,139,,,,,,,,,,,,,,498,92,"-81,45%",,,,,,,158,,,158,,,368,738,"100,59%",105,,
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,TOTAL HENKEL,,298902,259311,"-13,25%",298902,259311,"-13,25%",49357,28385,"-42,49%",24449,25544,"4,48%",7900,42423,"437,01%",28161,10748,"-61,84%",19939,17931,"-10,07%",27467,20222,"-26,38%",22630,21893,"-3,25%",25359,19676,"-22,41%",16247,13540,"-16,67%",22438,17227,"-23,23%",21062,23246,"10,37%",33893,18477,"-45,48%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,TOTAL HENKEL Direct,298902,259311,"-13,25%",298902,259311,"-13,25%",49357,28385,"-42,49%",24449,25544,"4,48%",7900,42423,"437,01%",28161,10748,"-61,84%",19939,17931,"-10,07%",27467,20222,"-26,38%",22630,21893,"-3,25%",25359,19676,"-22,41%",16247,13540,"-16,67%",22438,17227,"-23,23%",21062,23246,"10,37%",33893,18477,"-45,48%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    PEINTURE,207054,205281,"-0,86%",207054,205281,"-0,86%",34784,24666,"-29,09%",16914,20642,"22,04%",4999,31450,"529,15%",18825,8080,"-57,08%",16267,15125,"-7,02%",18714,16110,"-13,91%",14287,16912,"18,37%",19335,16072,"-16,88%",10140,10392,"2,48%",18768,13293,"-29,17%",11248,17834,"58,55%",22773,14703,"-35,44%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    MENUISERIE,11160,4433,,11160,4433,"-60,27%",4125,205,"-95,03%",1982,308,"-84,48%",231,333,"44,12%",2143,,,578,417,"-27,85%",181,483,"166,84%",445,891,"100,34%",402,,,545,244,"-55,22%",,978,,529,244,"-53,94%",,331,
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    PLOMBERIE,36413,18568,"-49,01%",36413,18568,"-49,01%",3758,726,"-80,69%",2422,1622,"-33,02%",1002,5608,"459,61%",2559,598,"-76,61%",899,801,"-10,89%",4000,763,"-80,93%",4848,1412,"-70,86%",2690,1528,"-43,21%",1497,1276,"-14,77%",1108,1359,"22,72%",4209,1415,"-66,39%",7421,1460,"-80,33%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    SOL,26677,16808,-37%,26677,16808,-37%,3651,1040,"-71,51%",1830,1654,"-9,64%",887,2903,"227,35%",2913,1292,"-55,65%",1066,950,"-10,92%",3180,1490,"-53,15%",1600,1769,"10,55%",1230,938,"-23,74%",2661,599,"-77,48%",1197,696,"-41,86%",3836,2451,"-36,09%",2627,1026,"-60,93%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    DECO,14158,9982,"-29,50%",14158,9982,"-29,50%",2567,1504,"-41,43%",1008,991,"-1,68%",416,1643,"295,03%",1223,230,"-81,18%",966,574,"-40,65%",1016,798,"-21,43%",1316,558,"-57,62%",1351,691,"-48,85%",1405,894,"-36,36%",1018,576,"-43,46%",1106,844,"-23,64%",766,679,"-11,27%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    QUINCAILLERIE,1230,2071,,1230,2071,"68,33%",63,,,63,138,"116,64%",,141,,316,207,"-34,55%",,65,,125,207,"64,94%",134,351,"162,19%",134,217,"61,83%",,134,,132,134,"1,63%",134,200,"49,10%",129,278,"115,97%"
20r1v,LEROY MERLIN - 177,74330,EPAGNY,347,,-    BATI,2209,2167,,2209,2167,"-1,91%",408,244,"-40,24%",230,190,"-17,66%",365,344,"-5,72%",183,340,"85,97%",163,,,251,372,"48,33%",,,,216,230,"6,63%",,,,216,190,"-11,97%",,258,,178,,
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,TOTAL HENKEL,,223998,235210,"5,01%",223998,235210,"5,01%",28000,22578,"-19,36%",21910,21481,"-1,95%",23252,21533,"-7,39%",19875,21762,"9,50%",12662,24543,"93,83%",25080,17428,"-30,51%",12218,19954,"63,32%",22642,22338,"-1,35%",14919,20313,"36,15%",14748,11911,"-19,24%",17029,21988,"29,12%",11664,9381,"-19,57%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,TOTAL HENKEL Direct,223998,235210,"5,01%",223998,235210,"5,01%",28000,22578,"-19,36%",21910,21481,"-1,95%",23252,21533,"-7,39%",19875,21762,"9,50%",12662,24543,"93,83%",25080,17428,"-30,51%",12218,19954,"63,32%",22642,22338,"-1,35%",14919,20313,"36,15%",14748,11911,"-19,24%",17029,21988,"29,12%",11664,9381,"-19,57%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    PEINTURE,152641,158981,"4,15%",152641,158981,"4,15%",20470,11836,"-42,18%",15455,14584,"-5,63%",17375,10356,"-40,40%",12860,13580,"5,60%",10490,20293,"93,45%",17966,13135,"-26,89%",6859,14132,"106,03%",17406,13484,"-22,53%",10274,16917,"64,66%",9888,8780,"-11,21%",10356,17100,"65,12%",3240,4783,"47,61%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    MENUISERIE,10997,21634,"96,73%",10997,21634,"96,73%",999,870,"-12,86%",1058,1523,"43,90%",910,3293,"261,63%",851,4638,"445,03%",435,955,"119,74%",778,1527,"96,32%",782,2572,"228,92%",843,3017,"257,98%",952,610,"-35,93%",971,467,"-51,90%",1321,1596,"20,85%",1098,567,"-48,38%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    PLOMBERIE,21815,18980,"-12,99%",21815,18980,"-12,99%",2845,2139,"-24,82%",1628,1716,"5,41%",1536,3329,"116,70%",2111,1038,"-50,85%",500,1009,"101,82%",1731,1043,"-39,77%",1656,1154,"-30,27%",1704,3818,"124,06%",1236,836,"-32,37%",981,910,"-7,22%",1482,548,-63%,4405,1441,"-67,30%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    SOL,27113,19802,"-26,97%",27113,19802,"-26,97%",2911,2826,"-2,91%",2410,2352,"-2,42%",2450,3470,"41,65%",2998,1702,"-43,20%",237,1633,"588,85%",3630,1053,"-70,98%",1718,1293,"-24,75%",1405,1011,"-28,01%",1801,1151,"-36,11%",2115,966,"-54,32%",2804,1113,"-60,32%",2635,1231,"-53,28%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    DECO,8185,7154,,8185,7154,"-12,59%",968,468,"-51,64%",1359,566,"-58,35%",853,767,"-10,06%",1055,915,"-13,34%",228,583,"155,90%",473,552,"16,78%",794,396,"-50,07%",1100,870,"-20,93%",409,218,"-46,78%",793,647,"-18,43%",,854,,153,318,"107,58%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    QUINCAILLERIE,1301,2219,,1301,2219,"70,64%",60,276,"355,95%",,69,,127,272,"114,18%",,134,,,69,,127,72,"-43,10%",409,406,"-0,73%",132,138,"3,99%",247,514,"107,87%",,141,,65,,,132,128,"-3,27%"
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    BATI,2277,4815,,2277,4815,"111,45%",230,4163,"1706,72%",,672,,,,,,-245,,773,,,325,,,,,,,,,,68,,,,,948,,,,158,
20p4t,LEROY MERLIN - 168,42270,ST PRIEST EN JAREZ,348,,-    AUTRES,-330,1625,,-330,1625,,-485,,,,,,,46,,,,,,,,50,46,"-7,23%",,,,53,,,,,,,,,53,777,"1378,08%",,756,
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,TOTAL HENKEL,,148403,133788,"-9,85%",148403,133788,"-9,85%",20152,9115,"-54,77%",11893,10905,"-8,30%",14481,21892,"51,18%",13126,6466,"-50,74%",3142,8203,"161,08%",14863,13791,"-7,21%",10978,11284,"2,79%",7313,13029,"78,14%",14240,9820,"-31,04%",7349,7571,"3,02%",12868,13610,"5,77%",17997,8101,"-54,99%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,TOTAL HENKEL Direct,148403,133788,"-9,85%",148403,133788,"-9,85%",20152,9115,"-54,77%",11893,10905,"-8,30%",14481,21892,"51,18%",13126,6466,"-50,74%",3142,8203,"161,08%",14863,13791,"-7,21%",10978,11284,"2,79%",7313,13029,"78,14%",14240,9820,"-31,04%",7349,7571,"3,02%",12868,13610,"5,77%",17997,8101,"-54,99%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    PEINTURE,95350,86707,"-9,06%",95350,86707,"-9,06%",11180,4384,"-60,79%",7798,6424,"-17,63%",8947,12797,"43,03%",8613,4034,"-53,16%",2054,5116,"149,12%",8711,10536,"20,95%",7759,8355,"7,67%",4205,8798,"109,22%",10804,6058,"-43,93%",3972,5296,"33,32%",8637,9882,"14,41%",12669,5027,"-60,32%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    MENUISERIE,13048,15812,,13048,15812,"21,18%",4129,2347,"-43,16%",1156,953,"-17,57%",23,5578,"24026,34%",2573,,,,604,,3998,453,"-88,68%",,1198,,,982,,,533,,49,515,"955,04%",603,1768,"193,32%",518,882,"70,35%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    PLOMBERIE,19098,14193,"-25,68%",19098,14193,"-25,68%",2371,1370,"-42,22%",1267,1526,"20,48%",3874,472,"-87,82%",858,1384,"61,28%",350,840,"139,99%",649,1372,"111,43%",1032,856,"-17,07%",1324,2124,"60,39%",1959,1378,"-29,64%",2227,1157,"-48,05%",1553,494,"-68,17%",1633,1219,"-25,36%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    SOL,13487,10846,"-19,58%",13487,10846,"-19,58%",1927,508,"-73,65%",1290,1113,"-13,68%",1148,2496,"117,34%",764,703,"-7,92%",378,996,"163,36%",1098,1075,"-2,11%",1870,569,"-69,55%",1159,363,"-68,67%",942,998,"6,04%",430,365,"-15,08%",1348,848,"-37,10%",1133,811,"-28,45%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    DECO,5820,5376,"-7,64%",5820,5376,"-7,64%",546,371,"-31,95%",382,843,"120,67%",488,415,"-14,99%",317,344,"8,42%",360,647,"79,77%",307,308,"0,34%",317,239,"-24,78%",572,628,"9,68%",536,852,"59,17%",618,170,"-72,56%",727,395,"-45,60%",649,163,"-74,93%"
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    QUINCAILLERIE,65,536,,65,536,"721,51%",,134,,,,,,134,,,,,,,,,,,,,,,134,,,,,,69,,,64,,65,,
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    BATI,1277,226,,1277,226,"-82,31%",,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,158,,1277,,
20p4v,LEROY MERLIN - 100,42000,ST ETIENNE,348,,-    AUTRES,257,92,,257,92,"-64,09%",,,,,46,,,,,,,,,,,100,46,"-53,61%",,,,53,,,,,,53,,,,,,53,,
