Code du Point de Vente,Raison Sociale,Code Postal,Ville,Code Chef de Secteur Henkel,"Total
Famille",Famille,"Total
annuel
2022","Total
annuel
2023","Total
annuel
Evol","Total
YTD
2022","Total
YTD
2023","Total
YTD
Evol","Janvier
2022","Janvier
2023","Janvier
Evol","Février
2022","Février
2023","Février
Evol","Mars
2022","Mars
2023","Mars
Evol","Avril
2022","Avril
2023","Avril
Evol","Mai
2022","Mai
2023","Mai
Evol","Juin
2022","Juin
2023","Juin
Evol","Juillet
2022","Juillet
2023","Juillet
Evol","Août
2022","Août
2023","Août
Evol","Septembre
2022","Septembre
2023","Septembre
Evol","Octobre
2022","Octobre
2023","Octobre
Evol","Novembre
2022","Novembre
2023","Novembre
Evol","Décembre
2022","Décembre
2023","Décembre
Evol"
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    PLOMBERIE,21520,21233,"-1,33%",21520,21233,"-1,33%",1084,2702,"149,19%",2309,2473,"7,11%",4222,2302,"-45,47%",178,714,"300,81%",180,930,"417,20%",518,1525,"194,69%",1708,2214,"29,67%",3793,2496,"-34,18%",770,1842,"139,32%",4154,504,"-87,86%",1626,1293,"-20,46%",979,2238,"128,50%"
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    SOL,29172,31578,"8,25%",29172,31578,"8,25%",4872,2340,"-51,98%",2597,2669,"2,76%",5043,2653,"-47,40%",185,2128,"1051,47%",209,4896,"2242,96%",1582,5399,"241,14%",1120,1733,"54,83%",1539,3129,"103,28%",1844,1006,"-45,41%",3031,2537,"-16,30%",3887,1310,"-66,31%",3263,1778,"-45,50%"
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    DECO,15397,15821,"2,75%",15397,15821,"2,75%",795,1614,"102,97%",1608,1277,"-20,59%",826,1084,"31,24%",2438,1179,"-51,62%",1138,2660,"133,78%",903,725,"-19,75%",834,726,"-12,98%",1458,1809,"24,02%",974,741,"-23,88%",1663,1274,"-23,36%",1816,855,"-52,90%",945,1877,"98,66%"
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    QUINCAILLERIE,2072,4896,,2072,4896,"136,27%",127,129,"1,23%",,72,,63,207,"225,52%",63,279,"339,32%",247,265,"7,24%",286,526,"83,82%",67,282,"321,15%",129,251,"95,14%",184,632,"244,18%",514,705,"36,97%",194,207,7%,198,1342,"579,22%"
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    BATI,2151,1678,,2151,1678,"-21,98%",193,294,"52,30%",346,,,204,,,,297,,,,,283,,,197,202,"2,55%",153,,,,222,,283,151,"-46,84%",216,512,"136,72%",276,,
20nsb,LEROY MERLIN - 193,29540,GUIPAVAS,443,,-    AUTRES,155,185,,155,185,"19,29%",,,,,,,,46,,,,,,92,,50,,,,,,53,46,"-12,10%",,,,,,,53,,,,,
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,TOTAL HENKEL,,299555,295451,"-1,37%",299555,295451,"-1,37%",26495,33575,"26,72%",28969,16137,"-44,30%",43425,30993,"-28,63%",8899,19262,"116,45%",16236,23127,"42,44%",20048,19133,"-4,56%",17842,24848,"39,26%",27939,34766,"24,43%",24380,15777,"-35,29%",30261,22155,"-26,79%",34067,33070,"-2,93%",20993,22610,"7,71%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,TOTAL HENKEL Direct,299555,295451,"-1,37%",299555,295451,"-1,37%",26495,33575,"26,72%",28969,16137,"-44,30%",43425,30993,"-28,63%",8899,19262,"116,45%",16236,23127,"42,44%",20048,19133,"-4,56%",17842,24848,"39,26%",27939,34766,"24,43%",24380,15777,"-35,29%",30261,22155,"-26,79%",34067,33070,"-2,93%",20993,22610,"7,71%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    PEINTURE,190782,200910,"5,31%",190782,200910,"5,31%",15667,20908,"33,46%",19127,11310,"-40,87%",28683,19929,"-30,52%",2560,13019,"408,52%",9418,15769,"67,44%",12408,14897,"20,06%",10580,18006,"70,18%",17194,21589,"25,56%",15984,11880,"-25,68%",20825,15586,"-25,15%",25082,24110,"-3,88%",13255,13909,"4,93%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    MENUISERIE,33057,32174,"-2,67%",33057,32174,"-2,67%",4101,4460,"8,77%",2457,640,"-73,97%",3666,3203,"-12,64%",1937,2746,"41,77%",3246,2633,"-18,87%",2062,1435,"-30,41%",3038,2051,"-32,48%",2007,5580,"178,08%",2102,583,"-72,25%",3082,2477,"-19,65%",3102,4106,"32,37%",2259,2261,"0,07%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    PLOMBERIE,25494,20365,"-20,12%",25494,20365,"-20,12%",2322,4073,"75,44%",2643,2272,"-14,05%",5090,4555,"-10,50%",574,791,"37,82%",841,791,"-6,02%",1704,962,"-43,53%",732,1062,"45,05%",2405,1523,"-36,66%",4322,713,"-83,51%",1002,1508,"50,61%",2173,1027,"-52,73%",1686,1087,"-35,55%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    SOL,31380,23703,"-24,46%",31380,23703,"-24,46%",3643,2359,"-35,24%",3172,1174,"-62,98%",4614,1913,"-58,54%",3072,1391,"-54,73%",1196,2112,"76,62%",2856,1046,"-63,39%",1202,1662,"38,20%",4667,4321,"-7,41%",1085,1409,"29,90%",2097,1197,"-42,93%",2133,2311,"8,33%",1642,2809,"71,05%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    DECO,9307,10250,"10,12%",9307,10250,"10,12%",563,1096,"94,49%",1053,434,"-58,77%",640,794,"24,08%",756,1132,"49,72%",466,1132,"142,98%",639,323,"-49,48%",540,659,"21,97%",882,1279,45%,644,691,"7,34%",1069,733,"-31,40%",1020,881,"-13,66%",1035,1095,"5,85%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    QUINCAILLERIE,3887,3653,,3887,3653,"-6,04%",,321,,63,,,407,65,"-83,96%",,138,,613,196,"-68,04%",237,275,"16,17%",663,846,"27,58%",512,65,"-87,26%",244,261,"7,19%",605,131,"-78,41%",123,420,"241,52%",420,935,"122,51%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    BATI,5390,4027,,5390,4027,"-25,28%",200,265,"32,29%",453,215,"-52,61%",325,533,"64,29%",,,,357,447,"25,18%",143,151,"5,02%",1033,562,"-45,63%",219,361,"64,86%",,240,,1581,523,"-66,91%",434,215,"-50,55%",643,515,"-19,89%"
20phh,LEROY MERLIN - 027,56530,QUEVEN,443,,-    AUTRES,257,370,,257,370,"43,66%",,92,,,92,,,,,,46,,100,46,"-53,61%",,46,,53,,,53,46,"-12,10%",,,,,,,,,,53,,
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,TOTAL HENKEL,,403012,437977,"8,68%",403012,437977,"8,68%",21494,56438,"162,57%",40009,35667,"-10,85%",43577,24697,"-43,33%",28581,23269,"-18,59%",23331,48894,"109,57%",51662,43702,"-15,41%",18462,29620,"60,44%",43164,51497,"19,31%",28492,25268,"-11,32%",44309,38519,"-13,07%",35525,32542,"-8,40%",24406,27866,"14,18%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,TOTAL HENKEL Direct,403012,437977,"8,68%",403012,437977,"8,68%",21494,56438,"162,57%",40009,35667,"-10,85%",43577,24697,"-43,33%",28581,23269,"-18,59%",23331,48894,"109,57%",51662,43702,"-15,41%",18462,29620,"60,44%",43164,51497,"19,31%",28492,25268,"-11,32%",44309,38519,"-13,07%",35525,32542,"-8,40%",24406,27866,"14,18%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    PEINTURE,214298,247795,"15,63%",214298,247795,"15,63%",11612,28351,"144,16%",21318,20544,"-3,63%",20916,8824,"-57,81%",12646,15624,"23,55%",19591,19277,"-1,60%",20026,27829,"38,97%",10945,17400,"58,98%",19152,32182,"68,03%",16013,19059,"19,02%",28465,25188,"-11,51%",20072,19456,"-3,07%",13543,14060,"3,82%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    MENUISERIE,48519,58226,"20,01%",48519,58226,"20,01%",2934,5977,"103,71%",1345,5597,"316,09%",4751,3662,"-22,92%",6189,1846,"-70,18%",928,13781,"1385,42%",5573,2940,"-47,24%",1088,3545,"225,76%",7662,3449,"-54,99%",7516,1370,"-81,77%",962,5060,"426,09%",4314,4245,"-1,59%",5257,6755,"28,49%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    PLOMBERIE,49294,41959,"-14,88%",49294,41959,"-14,88%",1732,11127,"542,39%",5039,690,"-86,31%",3685,5375,"45,87%",5325,1718,"-67,73%",1212,6422,"429,66%",12780,4487,"-64,89%",911,957,"5,10%",6932,6785,"-2,13%",1182,1464,"23,85%",7455,483,"-93,52%",1448,1044,"-27,91%",1594,1408,"-11,68%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    SOL,57602,53868,"-6,48%",57602,53868,"-6,48%",3452,6280,"81,90%",9779,5033,"-48,53%",11481,5088,"-55,68%",1427,1625,"13,86%",558,5384,"865,23%",10694,3438,"-67,85%",3127,5271,"68,55%",4453,5476,"22,97%",1153,2633,"128,27%",4116,5089,"23,65%",5722,4489,"-21,54%",1639,4061,"147,79%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    DECO,19367,19037,"-1,70%",19367,19037,"-1,70%",1538,1747,"13,57%",2173,1641,"-24,47%",2007,1058,"-47,29%",999,1831,"83,35%",819,1742,"112,61%",1252,2044,"63,27%",1396,1572,"12,63%",2034,2472,"21,53%",1641,397,"-75,82%",2220,2207,"-0,57%",2140,1427,"-33,31%",1149,899,"-21,72%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    QUINCAILLERIE,4382,6988,,4382,6988,"59,48%",98,1233,"1163,71%",98,731,"649,57%",442,,,512,144,"-71,76%",223,1083,"386,21%",274,2066,"654,67%",,581,,1013,509,"-49,77%",533,144,"-72,89%",67,144,"115,77%",595,144,"-75,72%",528,207,"-60,74%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    BATI,5929,6297,,5929,6297,"6,21%",128,1335,940%,257,640,"149,21%",296,261,"-11,72%",1482,433,"-70,79%",,975,,765,620,-19%,245,247,"0,83%",657,580,"-11,64%",454,200,"-55,93%",975,347,"-64,41%",394,182,"-53,69%",276,476,"72,69%"
20n96,LEROY MERLIN - 060,14120,MONDEVILLE,478,,-    AUTRES,3621,3808,,3621,3808,"5,15%",,389,,,790,,,429,,,46,,,231,,299,277,"-7,23%",750,46,"-93,84%",1261,46,"-96,34%",,,,50,,,841,1554,"84,76%",420,,
