ANNEE,CODE DU POINT DE VENTE,RAISON SOCIALE,CODE POSTAL,VILLE,Code Chef de Secteur Henkel,RAYON,NATURE,TYPE ACCORD,MODALITÉS,"BUDGET
ACCORD
HT €"
2023,20p2j,BRICOMARCHE - B201,38660,LE TOUVET,347,Déco,Permanent,Pack Visibilité GSB,Valeur Fixe,"  1 092,49 € "
2022,20p2j,BRICOMARCHE - B201,38660,LE TOUVET,347,Déco,Permanent,PACK VISIBILITE,,"  1 092,49 € "
2023,20nv8,BRICOMARCHE - B038,32700,LECTOURE,412,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  500,00 € "
2022,20rd8,BRICOMARCHE - B119,87300,BELLAC,350,Tous rayons,Permanent,TG/PODIUM/CAISSES RUBSON/SG3/PATTEX,,"  1 430,30 € "
2023,20pfa,BRICOMARCHE - B203,54300,LUNEVILLE,325,Tous rayons,Permanent,,% CA Annuel Direct + Entrepôt,"  2 556,15 € "
2022,20pfa,BRICOMARCHE - B203,54300,LUNEVILLE,325,Tous rayons,Permanent,MEA PATTEX/RUBSON/PATTEX,,"  3 000,00 € "
2022,20p9u,BRICOMARCHE - B078,47800,SAINT PARDOUX ISAAC,414,Tous rayons,Permanent,REMISE EN ETAT LINEAIRES RUBSON/PATTEX/SG3,,"  1 811,77 € "
2023,20p5c,BRICOMARCHE - B439,43120,MONISTROL SUR LOIRE,378,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  847,17 € "
2022,20p5c,BRICOMARCHE - B439,43120,MONISTROL SUR LOIRE,378,Tous rayons,Permanent,VISIBILITE 2022,,"  730,50 € "
2022,20p2z,BRICOMARCHE - B039,40000,MONT DE MARSAN,413,Tous rayons,Permanent,VISIBILITE,,"  700,00 € "
2023,20nmz,BRICOMARCHE - B371,26120,MONTELIER,378,Tous rayons,Promo,Pack Visibilité GSB,% CA Annuel Direct,"  1 248,20 € "
2022,20nmz,BRICOMARCHE - B371,26120,MONTELIER,378,Tous rayons,Promo,PACK VISIBILITE 2022,,"  1 248,20 € "
2023,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Permanent,TG/Podium,Valeur Fixe,"  600,00 € "
2023,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  1 060,00 € "
2023,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Promo,TG/Podium,Valeur Fixe,"  600,00 € "
2022,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Permanent,MEA MEUBLE RUBSON,,"  150,00 € "
2022,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Permanent,VISIBILITE 2022,,"  1 228,00 € "
2022,20r8w,BRICOMARCHE - B140,82300,MONTIELS,412,Tous rayons,Promo,TG ANNUELLE,,"  900,00 € "
2023,20r0v,BRICOMARCHE - B373,73800,MONTMELIAN,347,Tous rayons,Permanent,Pack Visibilité GSB,Valeur Fixe,"  915,00 € "
2022,20r0v,BRICOMARCHE - B373,73800,MONTMELIAN,347,Tous rayons,Permanent,PACK VIIBILITE 2022,,"  915,00 € "
2023,20p2n,BRICOMARCHE - B283,39570,MONTMOROT,323,Déco,Permanent,Cross,Valeur Fixe,"  4 550,00 € "
2023,20p2n,BRICOMARCHE - B283,39570,MONTMOROT,323,Peinture,Promo,TG/Podium,,"  480,00 € "
2023,20p2n,BRICOMARCHE - B283,39570,MONTMOROT,323,Peinture,Permanent,Pack Visibilité GSB,,"  5 000,00 € "
2022,20p2n,BRICOMARCHE - B283,39570,MONTMOROT,323,Peinture,Permanent,PACK VISIBILITE 2022,,"  4 550,00 € "
2022,20rfm,BRICOMARCHE - B443,88300,NEUFCHATEAU,325,Peinture,Permanent,MEA LOCTITE/RUBSON/PATTEX/METYLAN,,"  1 612,00 € "
2023,20pt7,BRICOMARCHE - B144,64403,OLORON SAINTE MARIE,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 700,00 € "
2022,20pt7,BRICOMARCHE - B144,64403,OLORON SAINTE MARIE,413,Tous rayons,Permanent,VISIBILITE,,"  1 500,00 € "
2023,20ptn,BRICOMARCHE - B145,64300,ORTHEZ,413,Tous rayons,Permanent,,% CA Annuel Direct,"  1 800,00 € "
2022,20ptn,BRICOMARCHE - B145,64300,ORTHEZ,413,Tous rayons,Permanent,MEA CROSS PATTEX/RUBSON 1er Semestre 2022,,"  1 500,00 € "
2022,20ptn,BRICOMARCHE - B145,64300,ORTHEZ,413,Tous rayons,Permanent,MEA CROSS PATTEX/RUBSON 2ème Semestre 2022,,"  1 500,00 € "
2023,20ncx,BRICOMARCHE - B444,18200,ORVAL,350,Peinture,Permanent,Pack Visibilité GSB,Valeur Fixe,"  1 000,00 € "
2022,20ncx,BRICOMARCHE - B444,18200,ORVAL,350,Peinture,Permanent,TG COLLES & MASTICS,,"  1 000,00 € "
2023,20pfb,BRICOMARCHE - B382,54700,PONT Z MOUSSON,325,Tous rayons,Permanent,,Valeur Fixe,"  2 900,00 € "
2022,20pfb,BRICOMARCHE - B382,54700,PONT Z MOUSSON,325,Tous rayons,Permanent,MEA MASTIC + COLLE EN PODIUM ET CROSS,,"  3 400,00 € "
2022,20ph7,BRICOMARCHE - B066,56400,AURAY,443,Tous rayons,Permanent,OP CARTE AUBADE,,"  215,35 € "
